一魔 滕一雷
二魔 顾金标
三魔 焦文期
四魔 哈合台
五魔 阎世章
六魔 阎世魁
绵里针 陆菲青
武诸葛 徐天宏
铁臂罗汉 罗信
铁塔 杨成协
玉判官 贝人龙
翠羽黄衫 霍青桐
骑驴大侠 阿凡提
鬼见愁 石双英
秃鹫 陈正德
铜头鳄鱼 蒋四根
雪雕 关明梅
悄李逵 周绮
金笛秀才 余鱼同
神弹子 孟健雄
火手判官 张召重
独角虎 安健刚
鸳鸯刀 骆冰
金爪铁钩 白振
奔雷手 文泰来
一苇渡江 褚圆
石敢当 章进
追魂夺命剑 无尘道人
威镇河朔 王维扬
天池怪侠 袁士宵
千臂如来 赵半山
糖里砒霜 唐六爷
铁胆 周仲英
香香公主 喀丝丽
九命锦豹子 卫春华
摩云金翅 杨鹏举
丁甲神 丁游
神剑仙猿 穆人清
阴阳扇 沙天广
伏虎金刚 崔希敏
鸳鸯胆 张若谷
八面威风 冯难敌
追风剑 万里风
铁臂金鳌 焦公礼
没影子 梅剑和
飞天魔女 孙仲君
圣手神偷 胡桂南
独眼神龙 单铁生
五丁手 刘培生
千变万劫 木桑道人
盖孟尝 孟伯飞
黑衣老乞婆 何红药
铜笔铁算盘 黄真
七星手 阮士中
威震天南 殷吉
腾龙剑 曹云奇
回龙剑 周云阳
镇关东 陶百岁
锦毛貂 田青文
金面佛 苗人凤
辽东大侠 胡一刀
雪山飞狐 胡斐
飞天蝙蝠 柯镇恶
妙手书生 朱聪
马王神 韩宝驹
南山樵子 南希仁
笑弥陀 张阿生
闹市隐侠 全金发
越女剑 韩小莹
丹阳子 马钰
长春子 丘处机
清静散人 孙不二
广宁子 郝大通
长生子 刘处玄
长真子 谭处端
玉阳子 王处一
断魂刀 沈青刚
追命枪 吴青烈
夺魄鞭 马青雄
丧门釜 钱青健
铜尸 陈玄风
铁尸 梅超风
东邪 黄药师
西毒 欧阳锋
南帝 段智兴
北丐 九指神丐 洪七公
中神通 王重阳
一灯大师 段皇爷
九指神丐 洪七公
老顽童 周伯通
飞天神龙 柯辟邪
江东蛇王 黎生
铁掌水上飘 裘千仞
鬼门龙王 沙通天
大手印 灵智上人
参仙老怪 梁子翁
千手人屠 彭连虎
五湖废人 陆乘风
神算子 瑛姑
西狂 杨过
南僧一灯 大师
北侠 郭靖
中老顽童 周伯通
赤练仙子 李莫愁
活菩萨 金轮法王
书生 朱子柳
矮狮 雷猛
铁掌莲花 裘千尺
剑魔 独孤求败
神雕侠 杨过
小东邪 郭襄
白额山君 史伯威
管见子 史仲猛
青甲狮王 史叔刚
大力神 史季强
八手仙猴 史孟捷
千斤鼎 童大海
转轮王 张一氓
绝户手圣 因师太
秃头老者 沙通天
三头蛟 侯通海
白眉僧 南帝
黑衣僧 慈恩
回疆巨汉 马光佐
波斯大贾 尹克西
天竺高手 尼摩星
湘西名宿 潇湘子
一老 关能
二老 宗维侠
三老 唐文亮
四老 常敬之
紫杉龙王 黛绮丝
白眉鹰王 殷天正
金毛狮王 谢逊
青翼蝠王 韦一笑
布袋和尚 说不得
铁冠道人 张中
冷面先生 冷谦
玄冥二老 鹿杖客,鹤笔翁
逍遥二仙 杨逍,范遥
青海三剑 马法通,邵鹤,邵燕
河间双煞 郝密,卜泰
金花银叶 黛绮丝,韩千叶
金华婆婆 黛绮丝
银叶先生 韩千叶
武当七侠 宋远桥,俞莲舟,俞岱岩,张松溪,张翠山,殷梨亭,莫声谷
崆峒五老 关能,宗维侠,唐文亮,常敬之,胡豹
一老 关能
二老 宗维侠
三老 唐文亮
四老 常敬之
五老 胡豹
雪岭双姝 朱子柳,武青婴
魔教四王 黛绮丝,殷天正,谢逊,韦一笑
紫杉龙王 黛绮丝
白眉鹰王 殷天正
金毛狮王 谢逊
青翼蝠王 韦一笑
五散人 说不得,张中,冷谦,彭莹玉,周颠
布袋和尚 说不得
铁冠道人 张中
冷面先生 冷谦
彭和尚 彭莹玉
神箭八雄 赵一伤,钱二败,孙三毁,李四摧,周五输,吴六破,郑七灭,王八衰
玄冥二老 鹿杖客,鹤笔翁
逍遥二仙 杨逍,范遥
波斯三使 流云使,妙风使,辉月使
十二宝树王 大圣宝树王,智慧宝树王,常胜宝树王,掌火宝树王,勤修宝树王,平等宝树王,信心宝树王,镇恶宝树王,正直宝树王,功德宝树王,齐心宝树王,俱名宝树王
青海三剑 玉真观三道人 马法通,邵鹤,邵燕
河间双煞 郝密,卜泰
小东邪 郭襄
海东青 德成
多臂熊 都大锦
银钩铁划 张翠山
混元霹雳手 成昆
闪电娘娘 卫四娘
云中白鹤 晋阳镖局总镖 头云鹤
蝶谷医仙 胡青牛
见死不救 胡青牛
毒手无盐 丁敏君
神机子 鲜于通
圣手伽蓝 简捷
毒仙 王难姑
惊天一笔 朱长龄
千里追风 姚清泉
开碑手 胡豹
玉面孟尝 宋青书
一拳断岳 常敬之
八臂神剑 东方白
苦头陀 范遥
山中老人 西域的霍山
金华婆婆 黛绮丝
金银掌 史火龙
癞头鼋 刘敖
万寿无疆 寿南山
醉不死 司徒千钟
水底金鳖 鄱阳湖侯氏
雁翎飞天刀 邱老英雄
阴阳判官 秦大鹏
倪氏双雄 倪不大,倪不小
西川双侠 黑白无常 常赫志,常伯志
烟酒二仙 上官铁生,文醉翁
韦陀双鹤 刘鹤真,万鹤声
钟氏三雄 钟兆英,钟兆文,钟兆能
百胜神拳 马行空
八卦刀商 剑鸣
打遍天下无敌手 金面佛 苗人凤
威镇河朔王 维扬
千手如来 赵半山
南霸天 凤天南
小祝融 曹猛
铁蝎子 崔百胜
流星赶月 童怀道
毒手药王 无嗔大师
八臂哪吒 秦耐之
千里独行侠 欧阳公政
千杯居士 文醉翁
烟霞散人 上官铁生
鬼见愁 石双英
绵里针 陆菲青
满洲第一勇士 德布
奔雷手 文泰来
追魂夺命剑 无尘道长
甘霖惠七省 汤沛
飞天狐狸 胡斐
毒手神枭 石万嗔
火手判官 张召重
吕梁三杰 霍元龙,史仲俊,陈达海
神刀震关西 霍元龙
梅花枪 史仲俊
青蟒剑 陈达海
白马李三 李三
金银小剑三娘子 上官虹
一指震江南 华辉
铸剑双侠 汪啸风,水笙
铁锁横江 戚长发
五云手 万震山
铁骨墨萼 梅念笙
陆地神龙 言达平
双刀 耿天霸
恶贯满盈 段延庆
无恶不作 叶二娘
南海鳄 神岳老三
穷凶极恶 云中鹤
北萧峰 萧峰 乔峰
南慕容 慕容复
琴颠 康广陵
棋魔 范百龄
书呆 苟读
画狂 吴领军
阎王敌 薛慕华
巧匠冯 阿三
花痴石 清露
戏迷 李傀儡
悄药叉 甘宝宝
笔砚生 朱丹臣
玉虚散 人刀白凤
金算盘 崔百泉
修罗刀 秦红棉
